Name                                                        Stmts   Miss  Coverage
numpy\distutils\fcompiler\sun.py                              32     15    53%
numpy\distutils\fcompiler\vast.py                             32     16    50%
numpy\distutils\from_template.py                             163     40    75%
numpy\distutils\fujitsuccompiler.py                           10      4    60%
numpy\distutils\intelccompiler.py                             60     31    48%
numpy\distutils\lib2def.py                                    64     49    23%
numpy\distutils\line_endings.py                               58     48    17%
numpy\distutils\log.py                                        62      8    87%
numpy\distutils\mingw32ccompiler.py                          280    164    41%
numpy\distutils\misc_util.py                                1146    835    27%
numpy\distutils\msvc9compiler.py                              24     16    33%
numpy\distutils\msvccompiler.py                               28     16    43%
numpy\distutils\npy_pkg_config.py                            204     69    66%
numpy\distutils\numpy_distribution.py                          9      1    89%
numpy\distutils\pathccompiler.py                              10      4    60%
numpy\distutils\setup.py                                      15     15     0%
numpy\distutils\system_info.py                              1874   1254    33%
numpy\distutils\tests\__init__.py                              0      0   100%
numpy\distutils\tests\test_build_ext.py                       30     18    40%
numpy\distutils\tests\test_ccompiler_opt.py                  275     35    87%
numpy\distutils\tests\test_ccompiler_opt_conf.py             112     17    85%
numpy\distutils\tests\test_exec_command.py                   143     64    55%
numpy\distutils\tests\test_fcompiler.py                       24      1    96%
numpy\distutils\tests\test_fcompiler_gnu.py                   26      0   100%
numpy\distutils\tests\test_fcompiler_intel.py                 16      0   100%
numpy\distutils\tests\test_fcompiler_nagfor.py                 9      0   100%
numpy\distutils\tests\test_from_template.py                   11      0   100%
numpy\distutils\tests\test_log.py                             24      0   100%
numpy\distutils\tests\test_mingw32ccompiler.py                24      5    79%
numpy\distutils\tests\test_misc_util.py                       54      3    94%
numpy\distutils\tests\test_npy_pkg_config.py                  47      0   100%
numpy\distutils\tests\test_shell_utils.py                     34      5    85%
numpy\distutils\tests\test_system_info.py                    191     24    87%
numpy\distutils\unixccompiler.py                              69     56    19%
numpy\doc\__init__.py                                          8      0   100%
numpy\doc\constants.py                                        41      0   100%
numpy\doc\ufuncs.py                                            0      0   100%
numpy\dtypes.py                                                9      0   100%
numpy\exceptions.py                                           31      2    94%
numpy\f2py\__init__.py                                        49     28    43%
numpy\f2py\__main__.py                                         2      2     0%
numpy\f2py\__version__.py                                      1      0   100%
numpy\f2py\_backends\__init__.py                               8      3    62%
numpy\f2py\_backends\_backend.py                              23      1    96%
